name,email,password,address,DOB,gender,createdAt,updatedAt,locationId
Auguste Rousel,arousel0@sun.com,BiaBDxEDxB02,'9400 S Normandie Ave, Los Angeles, CA 90044',1919-07-23,Female,2019-05-21 06:05:19,2019-05-21 06:05:19,2
Quentin Threadgill,qthreadgill1@istockphoto.com,z1FFVIwIw,'9209 Paramount Blvd, Downey, CA 90240',1932-11-28,Male,2019-05-21 06:05:19,2019-05-21 06:05:19,2
Weylin Wafer,wwafer2@angelfire.com,RcRI1gnKct,'403 W Neilson St, Carson, CA 90745',1982-02-09,Male,2019-05-21 06:05:19,2019-05-21 06:05:19,2
Hugibert Lewsley,hlewsley3@gravatar.com,skTGiAYAY,'658 Sunbeam St, Alhambra, CA 91801',1973-03-20,Male,2019-05-21 06:05:19,2019-05-21 06:05:19,2
Cassius Frankiewicz,cfrankiewicz4@nbcnews.com,Tkm2XxzPSl,'3 Manor Station St, Anaheim, CA 92804',1956-09-10,Male,2019-05-21 06:05:19,2019-05-21 06:05:19,1
Matias Irvine,mirvine5@delicious.com,MewGOiwB,'1 Piper Road, Van Nuys, CA 91405',1920-11-23,Male,2019-05-21 06:05:19,2019-05-21 06:05:19,2
Chrisse Hallums,challums6@bing.com,KHTtaYtaY,'9287 Bradford St, Long Beach, CA 90813',1928-09-22,Male,2019-05-21 06:05:19,2019-05-21 06:05:19,2
Veriee Wonham,vwonham7@wiley.com,HhGNKXuZfAsi,'711 Pierce Lane, Costa Mesa, CA 92627',1968-05-12,Female,2019-05-21 06:05:19,2019-05-21 06:05:19,1
Hoebart Ranson,hranson8@mlb.com,ypDPmMEO,'971 Garden Ave, Garden Grove, CA 92840',1976-07-22,Male,2019-05-21 06:05:19,2019-05-21 06:05:19,1
Marwin Cottrill,mcottrill9@pagesperso-orange.fr,As5LXtAs5,'38 Gates Dr, Anaheim, CA 92805',2013-11-08,Male,2019-05-21 06:05:19,2019-05-21 06:05:19,1
